Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A14024_001,SE_A18005_001,SE_A09003_001
"06075033204","14000US06075033204","Census Tract 332.04","Census Tract 332.04, San Francisco County, California","ca","140","00","ACSSF","0009146",,,,,"06","075",,,,"033204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4698,4698,32601.07,0.144105686976156,4698,91,183,65,35,1520,1035,724,256,347,262,81,99,4698,1545,426,63,1420,0,1023,221,4698,3678,1381,398,50,1420,0,208,221,1020,164,28,13,0,0,815,0,3022,2713,309,35110,2232.39856801909,36
"06075035100","14000US06075035100","Census Tract 351","Census Tract 351, San Francisco County, California","ca","140","00","ACSSF","0009147",,,,,"06","075",,,,"035100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9116,9116,25505.57,0.357412080673733,9116,510,566,293,176,546,1499,1649,1501,960,784,329,303,9116,2849,148,25,4718,94,191,1091,9116,8425,2737,126,25,4605,94,31,807,691,112,22,0,113,0,160,284,5163,5004,159,56810,2411.04129263914,35
"06075035201","14000US06075035201","Census Tract 352.01","Census Tract 352.01, San Francisco County, California","ca","140","00","ACSSF","0009148",,,,,"06","075",,,,"035201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5704,5704,15720.37,0.362841449458453,5704,464,252,227,66,332,1010,895,659,786,531,336,146,5704,2121,34,15,3084,0,287,163,5704,5285,2043,34,15,3061,0,0,132,419,78,0,0,23,0,287,31,3091,2973,118,41974,1959.92844364937,38
"06075035202","14000US06075035202","Census Tract 352.02","Census Tract 352.02, San Francisco County, California","ca","140","00","ACSSF","0009149",,,,,"06","075",,,,"035202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5244,5244,36436.23,0.14392267454521,5244,372,140,150,151,299,1233,773,657,693,530,166,80,5244,2394,395,39,1541,274,280,321,5244,4660,2114,371,39,1541,274,0,321,584,280,24,0,0,0,280,0,3452,3350,102,46949,1892.03319502075,38
"06075035300","14000US06075035300","Census Tract 353","Census Tract 353, San Francisco County, California","ca","140","00","ACSSF","0009150",,,,,"06","075",,,,"035300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7487,7487,17216.2,0.434881165472581,7487,473,333,411,268,430,1002,946,1112,976,858,389,289,7487,2577,31,17,4382,0,204,276,7487,6898,2267,0,11,4321,0,23,276,589,310,31,6,61,0,181,0,3881,3775,106,41227,2173.41317365269,39
"06075035400","14000US06075035400","Census Tract 354","Census Tract 354, San Francisco County, California","ca","140","00","ACSSF","0009151",,,,,"06","075",,,,"035400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7342,7342,18397.55,0.399074821968287,7342,310,350,268,166,333,911,1268,1131,1114,645,556,290,7342,2616,186,0,3630,0,347,563,7342,6880,2521,186,0,3630,0,72,471,462,95,0,0,0,0,275,92,4364,4135,229,53178,1662.95857988166,39
"06075040100","14000US06075040100","Census Tract 401","Census Tract 401, San Francisco County, California","ca","140","00","ACSSF","0009152",,,,,"06","075",,,,"040100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4560,4560,28178.37,0.161826232399532,4560,300,132,88,55,94,1610,670,477,414,376,219,125,4560,2445,36,0,1787,0,61,231,4560,4210,2263,36,0,1741,0,0,170,350,182,0,0,46,0,61,61,3012,2914,98,60952,2007.11206896552,39
"06075040200","14000US06075040200","Census Tract 402","Census Tract 402, San Francisco County, California","ca","140","00","ACSSF","0009153",,,,,"06","075",,,,"040200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5600,5600,27290.22,0.205201722942346,5600,250,321,197,97,385,1036,962,718,604,554,263,213,5600,3309,49,0,1791,0,82,369,5600,5219,3175,49,0,1768,0,20,207,381,134,0,0,23,0,62,162,3403,3311,92,82841,1987.34896943852,31
"06075042601","14000US06075042601","Census Tract 426.01","Census Tract 426.01, San Francisco County, California","ca","140","00","ACSSF","0009154",,,,,"06","075",,,,"042601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4004,4004,35377.5,0.11317928886157,4004,187,77,171,109,192,806,729,469,478,440,205,141,4004,1975,197,6,1356,0,127,343,4004,3666,1843,197,6,1356,0,5,259,338,132,0,0,0,0,122,84,2535,2419,116,63642,1948.40961986036,34
"06075042602","14000US06075042602","Census Tract 426.02","Census Tract 426.02, San Francisco County, California","ca","140","00","ACSSF","0009155",,,,,"06","075",,,,"042602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2861,2861,22315.18,0.128208702125261,2861,236,61,97,25,95,494,555,328,338,347,221,64,2861,1591,36,0,992,0,48,194,2861,2722,1495,36,0,992,0,20,179,139,96,0,0,0,0,28,15,1788,1766,22,84962,2185.97285067873,39
"06075042700","14000US06075042700","Census Tract 427","Census Tract 427, San Francisco County, California","ca","140","00","ACSSF","0009156",,,,,"06","075",,,,"042700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5379,5379,34029.51,0.158068686032522,5379,340,173,139,55,465,851,733,706,894,602,188,233,5379,2380,351,0,2337,0,108,203,5379,4946,2060,351,0,2337,0,0,198,433,320,0,0,0,0,108,5,3125,2999,126,58132,1870.21148036254,39
"06075042800","14000US06075042800","Census Tract 428","Census Tract 428, San Francisco County, California","ca","140","00","ACSSF","0009157",,,,,"06","075",,,,"042800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2507,2507,11591.39,0.216281310955881,2507,152,217,212,138,55,180,278,476,309,289,129,72,2507,1801,0,0,462,0,14,230,2507,2403,1705,0,0,462,0,6,230,104,96,0,0,0,0,8,0,1142,1101,41,107775,2371.36363636364,32
"06075045100","14000US06075045100","Census Tract 451","Census Tract 451, San Francisco County, California","ca","140","00","ACSSF","0009158",,,,,"06","075",,,,"045100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5126,5126,34532.36,0.148440456094777,5126,240,169,147,84,374,1542,699,467,618,410,292,84,5126,2566,142,29,1954,0,338,97,5126,4543,2321,142,29,1954,0,0,97,583,245,0,0,0,0,338,0,3397,3269,128,75030,2127.42066720911,33
"06075045200","14000US06075045200","Census Tract 452","Census Tract 452, San Francisco County, California","ca","140","00","ACSSF","0009159",,,,,"06","075",,,,"045200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7286,7286,31864.04,0.228658974481735,7286,128,366,323,122,489,2096,1066,887,911,512,274,112,7286,3587,197,0,2928,0,107,467,7286,6767,3193,197,0,2905,0,24,448,519,394,0,0,23,0,83,19,4920,4615,305,68241,1975.09940357853,35
"06075047600","14000US06075047600","Census Tract 476","Census Tract 476, San Francisco County, California","ca","140","00","ACSSF","0009160",,,,,"06","075",,,,"047600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5670,5670,27646.74,0.205087436698548,5670,250,234,154,149,608,914,817,847,773,518,247,159,5670,2403,71,0,2483,70,100,543,5670,5289,2211,26,0,2439,70,0,543,381,192,45,0,44,0,100,0,3438,3299,139,64260,2167.82246879334,35
"06075047701","14000US06075047701","Census Tract 477.01","Census Tract 477.01, San Francisco County, California","ca","140","00","ACSSF","0009161",,,,,"06","075",,,,"047701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4569,4569,32445.15,0.140822274080034,4569,166,134,147,50,343,964,727,478,733,348,261,218,4569,1899,0,0,2094,0,177,399,4569,4245,1797,0,0,2070,0,54,324,324,102,0,0,24,0,123,75,2880,2711,169,49299,1613.81093057607,34
"06075047702","14000US06075047702","Census Tract 477.02","Census Tract 477.02, San Francisco County, California","ca","140","00","ACSSF","0009162",,,,,"06","075",,,,"047702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3927,3927,28830.18,0.136211441906295,3927,126,234,125,70,191,719,618,514,638,406,138,148,3927,1680,23,0,2032,0,42,150,3927,3723,1567,23,0,2012,0,9,112,204,113,0,0,20,0,33,38,2412,2332,80,60462,1882.06388206388,36
"06075047801","14000US06075047801","Census Tract 478.01","Census Tract 478.01, San Francisco County, California","ca","140","00","ACSSF","0009163",,,,,"06","075",,,,"047801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4421,4421,24024.74,0.184018613213652,4421,320,136,123,115,353,706,583,509,676,407,295,198,4421,1830,88,6,2069,0,37,391,4421,4170,1674,88,5,2027,0,18,358,251,156,0,1,42,0,19,33,2521,2446,75,57647,1634.29256594724,41
"06075047802","14000US06075047802","Census Tract 478.02","Census Tract 478.02, San Francisco County, California","ca","140","00","ACSSF","0009164",,,,,"06","075",,,,"047802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3869,3869,29520.55,0.131061224994093,3869,136,97,214,148,432,827,410,645,344,278,210,128,3869,1770,20,11,1743,19,181,125,3869,3481,1565,20,0,1733,19,19,125,388,205,0,11,10,0,162,0,2217,2162,55,61896,2001.92539109507,37
"06075047901","14000US06075047901","Census Tract 479.01","Census Tract 479.01, San Francisco County, California","ca","140","00","ACSSF","0009165",,,,,"06","075",,,,"047901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7589,7589,16848.22,0.45043336108121,7589,436,261,468,106,467,1233,1268,1086,980,756,367,161,7589,3158,124,0,3734,0,122,451,7589,7224,2962,124,0,3734,0,0,404,365,196,0,0,0,0,122,47,4333,4173,160,49268,1766.81547619048,36
"06075047902","14000US06075047902","Census Tract 479.02","Census Tract 479.02, San Francisco County, California","ca","140","00","ACSSF","0009166",,,,,"06","075",,,,"047902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3632,3632,23651.02,0.153566348569955,3632,163,87,141,53,109,806,508,444,558,473,211,79,3632,1784,0,0,1435,0,58,355,3632,3451,1661,0,0,1435,0,0,355,181,123,0,0,0,0,58,0,2261,2213,48,63912,1997.14656290532,37
"06075060100","14000US06075060100","Census Tract 601","Census Tract 601, San Francisco County, California","ca","140","00","ACSSF","0009167",,,,,"06","075",,,,"060100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4226,4226,1791.716,2.35863332185323,4226,243,219,242,190,513,1157,651,565,288,123,14,21,4226,3115,89,55,355,0,270,342,4226,3638,2910,89,55,355,0,0,229,588,205,0,0,0,0,270,113,2874,2817,57,83487,3158.75968992248,32
"06075060400","14000US06075060400","Census Tract 604","Census Tract 604, San Francisco County, California","ca","140","00","ACSSF","0009168",,,,,"06","075",,,,"060400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1596,1596,940.0071,1.69785960398272,1596,64,38,0,16,84,327,238,151,128,228,195,127,1596,919,83,10,407,0,149,28,1596,1429,814,83,10,407,0,87,28,167,105,0,0,0,0,62,0,861,816,45,66474,1770.36613272311,34
"06075060502","14000US06075060502","Census Tract 605.02","Census Tract 605.02, San Francisco County, California","ca","140","00","ACSSF","0009169",,,,,"06","075",,,,"060502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3511,3511,33005.75,0.106375396333883,3511,241,387,393,151,393,431,455,382,426,163,43,46,3511,266,968,0,1170,238,698,171,3511,2588,96,951,0,1170,238,0,133,923,170,17,0,0,0,698,38,1500,1288,212,18465,754.764930114358,36
"06075060700","14000US06075060700","Census Tract 607","Census Tract 607, San Francisco County, California","ca","140","00","ACSSF","0009170",,,,,"06","075",,,,"060700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13222,13222,15679.5,0.843266841390771,13222,726,304,262,231,952,4694,3129,1093,760,711,252,108,13222,5892,326,98,5931,0,510,465,13222,11556,4862,294,0,5931,0,116,353,1666,1030,32,98,0,0,394,112,8925,8762,163,91187,2487.60529482551,35
"06075061000","14000US06075061000","Census Tract 610","Census Tract 610, San Francisco County, California","ca","140","00","ACSSF","0009171",,,,,"06","075",,,,"061000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4839,4839,5776.211,0.837746352492753,4839,319,255,269,113,273,807,893,535,647,505,188,35,4839,665,791,0,2945,29,244,165,4839,4388,572,728,0,2905,29,11,143,451,93,63,0,40,0,233,22,2873,2663,210,41702,2449.50213371266,36
"06075061100","14000US06075061100","Census Tract 611","Census Tract 611, San Francisco County, California","ca","140","00","ACSSF","0009172",,,,,"06","075",,,,"061100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4477,4477,48342.07,0.0926108537954616,4477,188,166,205,65,149,524,399,710,760,571,404,336,4477,141,10,44,4198,35,40,9,4477,4469,133,10,44,4198,35,40,9,8,8,0,0,0,0,0,0,2001,1854,147,22262,656.942355889724,26
"06075061200","14000US06075061200","Census Tract 612","Census Tract 612, San Francisco County, California","ca","140","00","ACSSF","0009173",,,,,"06","075",,,,"061200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3842,3842,22888.83,0.167854831759838,3842,48,104,239,130,212,759,550,551,588,408,145,108,3842,540,1115,24,1129,22,961,51,3842,2594,308,1074,24,1129,22,0,37,1248,232,41,0,0,0,961,14,2176,1948,228,34616,1399.01823281907,33
"06075061400","14000US06075061400","Census Tract 614","Census Tract 614, San Francisco County, California","ca","140","00","ACSSF","0009174",,,,,"06","075",,,,"061400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6283,6283,20398.64,0.308010693485839,6283,391,337,524,132,269,1643,1130,769,557,219,238,74,6283,2681,613,26,1394,0,1085,484,6283,4898,2478,613,26,1394,0,0,387,1385,203,0,0,0,0,1085,97,3527,3435,92,71524,1768.31032215648,33
"06075061500","14000US06075061500","Census Tract 615","Census Tract 615, San Francisco County, California","ca","140","00","ACSSF","0009175",,,,,"06","075",,,,"061500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16968,16968,26462.33,0.6412133955833,16968,814,345,74,76,1195,5991,3524,2243,1292,1071,163,180,16968,8201,298,0,7295,41,142,991,16968,15834,7579,298,0,7295,41,0,621,1134,622,0,0,0,0,142,370,12618,12084,534,139303,2509.33562428408,32
"06075980200","14000US06075980200","Census Tract 9802","Census Tract 9802, San Francisco County, California","ca","140","00","ACSSF","0009176",,,,,"06","075",,,,"980200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,312,798.9175,0.390528450324866,312,14,0,0,0,0,8,56,25,20,75,61,53,312,146,50,0,105,0,11,0,312,301,146,50,0,105,0,0,0,11,0,0,0,0,0,11,0,65,65,0,71138,2600,39
"06075980300","14000US06075980300","Census Tract 9803","Census Tract 9803, San Francisco County, California","ca","140","00","ACSSF","0009177",,,,,"06","075",,,,"980300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,63,37.57973,1.67643556649683,63,0,0,0,0,0,37,11,15,0,0,0,0,63,58,0,0,5,0,0,0,63,63,58,0,0,5,0,0,0,0,0,0,0,0,0,0,0,59,59,0,109424,1956.25,58
"06075980401","14000US06075980401","Census Tract 9804.01","Census Tract 9804.01, San Francisco County, California","ca","140","00","ACSSF","0009178",,,,,"06","075",,,,"980401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.161901522323656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
"06075980501","14000US06075980501","Census Tract 9805.01","Census Tract 9805.01, San Francisco County, California","ca","140","00","ACSSF","0009179",,,,,"06","075",,,,"980501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507,507,832.5079,0.60900320773687,507,23,61,18,11,24,58,50,49,51,31,105,26,507,28,114,0,258,34,67,6,507,406,0,114,0,258,34,0,0,101,28,0,0,0,0,67,6,145,125,20,17567,290.686274509804,36
"06075980600","14000US06075980600","Census Tract 9806","Census Tract 9806, San Francisco County, California","ca","140","00","ACSSF","0009180",,,,,"06","075",,,,"980600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,690,838.106,0.823284895528474,690,39,41,60,0,77,107,98,144,64,32,28,0,690,148,233,0,170,0,66,73,690,543,97,233,0,170,0,0,43,147,51,0,0,0,0,66,30,387,377,10,49391,1371.07438016529,37
"06075980900","14000US06075980900","Census Tract 9809","Census Tract 9809, San Francisco County, California","ca","140","00","ACSSF","0009181",,,,,"06","075",,,,"980900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,253,182.7679,1.38426896186392,253,22,7,9,0,5,71,62,44,5,5,23,0,253,171,18,0,56,0,8,0,253,205,131,18,0,56,0,0,0,48,40,0,0,0,0,8,0,182,182,0,56873,2349.23076923077,42
"06075990100","14000US06075990100","Census Tract 9901","Census Tract 9901, San Francisco County, California","ca","140","00","ACSSF","0009182",,,,,"06","075",,,,"990100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
