Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A14024_001,SE_A18005_001,SE_A09003_001
"06075030102","14000US06075030102","Census Tract 301.02","Census Tract 301.02, San Francisco County, California","ca","140","00","ACSSF","0009117",,,,,"06","075",,,,"030102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5262,5262,10814.46,0.486570594149471,5262,187,219,185,96,397,1414,946,525,467,384,196,246,5262,3672,93,0,1211,0,129,157,5262,4863,3381,86,0,1211,0,31,154,399,291,7,0,0,0,98,3,3115,2973,142,91719,2510.34775233249,33
"06075030201","14000US06075030201","Census Tract 302.01","Census Tract 302.01, San Francisco County, California","ca","140","00","ACSSF","0009118",,,,,"06","075",,,,"030201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4529,4529,32497.01,0.139366668880319,4529,232,197,135,44,164,1277,929,544,426,402,74,105,4529,2156,144,0,1660,9,146,414,4529,4128,2031,144,0,1605,9,0,339,401,125,0,0,55,0,146,75,2998,2962,36,62894,1989.23303834808,34
"06075030202","14000US06075030202","Census Tract 302.02","Census Tract 302.02, San Francisco County, California","ca","140","00","ACSSF","0009119",,,,,"06","075",,,,"030202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4438,4438,32318.05,0.137322643965918,4438,169,157,76,0,187,1438,954,461,316,520,55,105,4438,2625,89,0,1483,0,113,128,4438,3970,2297,89,0,1459,0,0,125,468,328,0,0,24,0,113,3,3139,3078,61,80089,2067.59670259987,37
"06075030301","14000US06075030301","Census Tract 303.01","Census Tract 303.01, San Francisco County, California","ca","140","00","ACSSF","0009120",,,,,"06","075",,,,"030301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5914,5914,20354.53,0.290549608724056,5914,399,262,201,109,266,1346,726,1033,437,611,242,282,5914,2405,125,0,2604,0,348,432,5914,5473,2322,124,0,2604,0,32,391,441,83,1,0,0,0,316,41,3539,3428,111,89297,2296.04352126607,38
"06075030302","14000US06075030302","Census Tract 303.02","Census Tract 303.02, San Francisco County, California","ca","140","00","ACSSF","0009121",,,,,"06","075",,,,"030302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4348,4348,18837.51,0.230816127333409,4348,207,207,183,88,373,732,550,520,689,532,179,88,4348,1686,214,0,2040,11,121,276,4348,3919,1451,214,0,2003,11,16,224,429,235,0,0,37,0,105,52,2548,2378,170,73285,2369.85507246377,37
"06075030400","14000US06075030400","Census Tract 304","Census Tract 304, San Francisco County, California","ca","140","00","ACSSF","0009122",,,,,"06","075",,,,"030400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5573,5573,14827.46,0.375856567675217,5573,379,341,228,92,333,844,720,844,701,635,342,114,5573,3017,51,9,1962,36,108,390,5573,5094,2726,51,9,1962,36,45,265,479,291,0,0,0,0,63,125,3083,2960,123,85923,2223.73271889401,37
"06075030500","14000US06075030500","Census Tract 305","Census Tract 305, San Francisco County, California","ca","140","00","ACSSF","0009123",,,,,"06","075",,,,"030500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3230,3230,7690.568,0.419994996115812,3230,122,117,186,72,101,333,285,458,609,390,240,317,3230,1653,222,0,963,28,143,221,3230,2888,1478,210,0,963,28,10,199,342,175,12,0,0,0,133,22,1275,1233,42,55912,1668.30985915493,34
"06075030600","14000US06075030600","Census Tract 306","Census Tract 306, San Francisco County, California","ca","140","00","ACSSF","0009124",,,,,"06","075",,,,"030600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2495,2495,12388.2,0.201401319233912,2495,180,137,154,101,112,199,403,413,363,232,128,73,2495,1388,62,0,653,0,151,241,2495,2156,1251,54,0,646,0,19,186,339,137,8,0,7,0,132,55,1326,1250,76,78501,2003.33333333333,34
"06075030700","14000US06075030700","Census Tract 307","Census Tract 307, San Francisco County, California","ca","140","00","ACSSF","0009125",,,,,"06","075",,,,"030700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7024,7024,12704.86,0.552859318267112,7024,488,323,443,216,243,693,1273,868,1023,818,440,196,7024,4230,250,17,1945,0,166,416,7024,6309,3758,250,17,1945,0,59,280,715,472,0,0,0,0,107,136,3798,3720,78,80153,2970.78039927405,31
"06075030800","14000US06075030800","Census Tract 308","Census Tract 308, San Francisco County, California","ca","140","00","ACSSF","0009126",,,,,"06","075",,,,"030800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6226,6226,12970.73,0.480003768357228,6226,173,352,403,114,227,750,711,1220,940,812,341,183,6226,3641,277,13,2113,29,36,117,6226,5831,3285,277,13,2113,26,0,117,395,356,0,0,0,3,36,0,3431,3339,92,81695,2066.38935108153,32
