"placekey","safegraph_place_id","parent_placekey","parent_safegraph_place_id","location_name","safegraph_brand_ids","brands","top_category","sub_category","naics_code","latitude","longitude","street_address","city","region","postal_code","iso_country_code","phone_number","open_hours","category_tags"
22m-222@5vg-7gv-p5f,sg:003b080d5551447e944e2e2a27964964,,,Peet's Coffee and Tea,SG_BRAND_8421bf6b31aaf51cc6dfa83a155940a3,Peet's Coffee and Tea,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.796536,-122.422066,2139C Polk St,San Francisco,CA,94109,US,+14154741871,"{ ""Mon"": [[""5:00"", ""19:00""]], ""Tue"": [[""5:00"", ""19:00""]], ""Wed"": [[""5:00"", ""19:00""]], ""Thu"": [[""5:00"", ""19:00""]], ""Fri"": [[""5:00"", ""19:00""]], ""Sat"": [[""5:30"", ""19:00""]], ""Sun"": [[""6:00"", ""19:00""]] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop"
225-239@5vg-836-66k,sg:bc6d91f5166b4eaaa6c060a8327f403d,225-226@5vg-836-66k,sg:b7ca2f3541af437ebd63007dc2c827b0,Peet's Coffee and Tea,SG_BRAND_8421bf6b31aaf51cc6dfa83a155940a3,Peet's Coffee and Tea,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.72774,-122.476595,3251 20th Ave Ste P182,San Francisco,CA,94132,US,+14152138380,,"Snacks,Counter Service,Dessert,Tea House,Coffee Shop"
zzw-226@5vg-7gs-4n5,sg:671eb8d24b4b4735869fd1c17ae4e4a3,zzw-222@5vg-7gs-4n5,sg:1588b488a13246708b04823fd92f228f,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.78273,-122.431511,1335 Webster St,San Francisco,CA,94115,US,,,"Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery"
zzy-22y@5vg-7gt-qzz,sg:d1ef523adf804c61b7873460acb686e2,zzw-229@5vg-7gt-qzz,sg:67c9205c0aab456ea5bd1b83f56f765a,Peet's Coffee and Tea,SG_BRAND_8421bf6b31aaf51cc6dfa83a155940a3,Peet's Coffee and Tea,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.795572,-122.393499,1 Ferry Building Shop 43,San Francisco,CA,94111,US,+14155933831,"{ ""Mon"": [[""6:00"", ""20:00""]], ""Tue"": [[""6:00"", ""20:00""]], ""Wed"": [[""6:00"", ""20:00""]], ""Thu"": [[""6:00"", ""20:00""]], ""Fri"": [[""6:00"", ""20:00""]], ""Sat"": [[""6:30"", ""20:00""]], ""Sun"": [[""6:30"", ""20:00""]] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop"
22f-222@5vg-7gw-pqf,sg:98efa38a081f4b7fa1775bc07cf04683,,,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.790217,-122.433859,2222 Fillmore St,San Francisco,CA,94115,US,+14156733171,"{ ""Mon"": [[""4:30"", ""20:00""]], ""Tue"": [[""4:30"", ""20:00""]], ""Wed"": [[""4:30"", ""20:00""]], ""Thu"": [[""4:30"", ""20:00""]], ""Fri"": [[""5:00"", ""20:00""]], ""Sat"": [[""5:00"", ""20:00""]], ""Sun"": [[""4:30"", ""20:00""]] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery"
zzy-222@5vg-7gt-zzz,sg:31dd0bfc917246849559207db0dd13ef,,,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.777081,-122.393752,280 King Street Mission Bay,San Francisco,CA,94107,US,+14153440351,"{ ""Mon"": [[""4:30"", ""20:00""]], ""Tue"": [[""4:30"", ""20:00""]], ""Wed"": [[""4:30"", ""20:00""]], ""Thu"": [[""4:30"", ""20:00""]], ""Fri"": [[""4:30"", ""20:00""]], ""Sat"": [[""6:00"", ""19:30""]], ""Sun"": [[""5:30"", ""19:00""]] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery"
23b-222@5vg-7gt-ckf,sg:60fdf4b07bcb4809843ae1c417844c92,,,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.79291,-122.404347,580 California St Ste 150,San Francisco,CA,94104,US,+14157922732,"{ ""Mon"": [[""4:30"", ""19:00""]], ""Tue"": [[""4:30"", ""19:00""]], ""Wed"": [[""4:30"", ""19:00""]], ""Thu"": [[""4:30"", ""19:00""]], ""Fri"": [[""4:30"", ""19:00""]], ""Sat"": [[""6:00"", ""18:00""]], ""Sun"": [[""6:00"", ""18:00""]] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery"
22w-223@5vg-7ms-gkz,sg:6fcdbd959dd34b0fbe3bfeb699b46629,,,Peet's Coffee and Tea,SG_BRAND_8421bf6b31aaf51cc6dfa83a155940a3,Peet's Coffee and Tea,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.780267,-122.475254,5201 Geary Blvd,San Francisco,CA,94118,US,+14155922200,,"Snacks,Counter Service,Dessert,Tea House,Coffee Shop"
228-222@5vg-7gx-qzz,sg:87e68a84d67b4d95a53985107be46f6f,,,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.762904,-122.410442,2727 Mariposa St,San Francisco,CA,94110,US,+14155522649,,"Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery"
223-225@5vg-82x-2c5,sg:8c7ad94a58fe425b98e2c4a2ee948309,223-222@5vg-82x-2c5,sg:f58755db29cc48f989812250f4a47653,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.754118,-122.488815,2350 Noriega St,San Francisco,CA,94122,US,,"{ ""Mon"": [[""6:30"", ""18:30""]], ""Tue"": [[""6:30"", ""18:00""]], ""Wed"": [[""6:30"", ""18:00""]], ""Thu"": [[""6:30"", ""18:30""]], ""Fri"": [[""6:30"", ""18:30""]], ""Sat"": [[""6:30"", ""18:30""]], ""Sun"": [[""6:30"", ""18:30""]] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery"
22z-222@5vg-7gt-brk,sg:009e7d393799461996344925e9398334,,,Peet's Coffee and Tea,SG_BRAND_8421bf6b31aaf51cc6dfa83a155940a3,Peet's Coffee and Tea,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.790836,-122.402523,217 Montgomery St,San Francisco,CA,94104,US,+14154218420,,"Snacks,Counter Service,Dessert,Tea House,Coffee Shop"
226-228@5vg-7gq-d9z,sg:0262baa9611c48feb46dac386b04bbb5,,,Peet's Coffee and Tea,SG_BRAND_8421bf6b31aaf51cc6dfa83a155940a3,Peet's Coffee and Tea,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.781786,-122.420894,601 Van Ness Ave,San Francisco,CA,94102,US,+14155932661,"{ ""Mon"": [[""5:30"", ""19:00""]], ""Tue"": [[""5:30"", ""19:00""]], ""Wed"": [[""5:30"", ""19:00""]], ""Thu"": [[""5:30"", ""19:00""]], ""Fri"": [[""5:30"", ""19:00""]], ""Sat"": [[""6:00"", ""19:00""]], ""Sun"": [[""6:00"", ""19:00""]] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop"
zzw-237@5vg-833-45f,sg:a46cf8efde054c6295c32bdb5e61e836,zzw-222@5vg-833-6hq,sg:3ac728a61ce244b3ac1c6300fafc24e9,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.764162,-122.456415,350 Parnassus Street Parnassus Heights Medical Cen,San Francisco,CA,94117,US,+14156656406,,"Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery"
227-224@5vg-7gv-5mk,sg:980734d8fc2f44b7af97ac38c9b58be0,,,Peet's Coffee and Tea,SG_BRAND_8421bf6b31aaf51cc6dfa83a155940a3,Peet's Coffee and Tea,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.786055,-122.405046,773 Market St,San Francisco,CA,94103,US,+14155302559,,"Snacks,Counter Service,Dessert,Tea House,Coffee Shop"
22q-226@5vg-7gt-gff,sg:bf2f5168cf7844eca4587440a1935c49,,,Peet's Coffee and Tea,SG_BRAND_8421bf6b31aaf51cc6dfa83a155940a3,Peet's Coffee and Tea,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.791491,-122.399446,22 Battery St,San Francisco,CA,94111,US,+14159814550,"{ ""Mon"": [[""5:00"", ""18:00""]], ""Tue"": [[""5:00"", ""18:00""]], ""Wed"": [[""5:00"", ""18:00""]], ""Thu"": [[""5:00"", ""18:00""]], ""Fri"": [[""5:00"", ""18:00""]], ""Sat"": [], ""Sun"": [] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop"
22s-222@5vg-82n-pvz,sg:fd2fe0ac9c6944cf9c67c5da0087ec4e,,,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.74464,-122.452668,675 Portola Dr,San Francisco,CA,94127,US,+14156829477,"{ ""Mon"": [[""4:30"", ""19:00""]], ""Tue"": [[""4:30"", ""19:00""]], ""Wed"": [[""4:30"", ""19:00""]], ""Thu"": [[""4:30"", ""19:30""]], ""Fri"": [[""5:00"", ""19:30""]], ""Sat"": [[""5:00"", ""19:00""]], ""Sun"": [[""4:30"", ""19:00""]] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery"
22k-222@5vg-7gt-dvz,sg:0f6433f06b1f4cb7b13c7872e67100a2,,,Peet's Coffee and Tea,SG_BRAND_8421bf6b31aaf51cc6dfa83a155940a3,Peet's Coffee and Tea,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.794752,-122.401225,450 Sansome St Ste 1,San Francisco,CA,94111,US,+14153215280,"{ ""Mon"": [[""5:30"", ""18:30""]], ""Tue"": [[""5:30"", ""18:30""]], ""Wed"": [[""5:30"", ""18:30""]], ""Thu"": [[""5:30"", ""18:30""]], ""Fri"": [[""5:30"", ""18:30""]], ""Sat"": [], ""Sun"": [] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop"
227-224@5vg-7gt-f2k,sg:38b34a98da6c485a8279065d9795133f,,,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.789505,-122.402017,44 Montgomery St,San Francisco,CA,94104,US,+14153974394,"{ ""Mon"": [[""4:30"", ""17:30""]], ""Tue"": [[""4:30"", ""17:30""]], ""Wed"": [[""4:30"", ""17:30""]], ""Thu"": [[""4:30"", ""17:30""]], ""Fri"": [[""6:00"", ""16:00""]], ""Sat"": [], ""Sun"": [[""4:30"", ""17:30""]] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery"
